networkSize,trainingTrials,trainingMae,testingMae,testingCorr,elapsedSeconds
300,12,0.012390756894968,0.0616506230846552,0.977677602126467,2.1893212
500,24,0.000757618398120205,0.000889941036779239,0.999995938679433,20.3419544
