networkSize,feedbackInputCount,readoutInputCount,trainingMae,testingMae,testingCorr,earlyAlignedCorr,lateAlignedCorr,frequencyRatio,elapsedSeconds
1000,25,25,0.486861969713574,0.666912204086358,0.0685174399523053,0.603858315606912,0.361965980574712,0.833333333333333,10.9216812
1000,25,1000,0.047353208472373,1.00653436366998,0.0603150085250434,0.505371158374479,0.568193956306167,0.916666666666667,27.3707854
1000,100,1000,0.0318100353872847,0.951701657426347,0.00331252720038703,0.460779631867911,0.375933645228076,0.75,38.6740865
1500,100,1500,0.021044883640252,0.82941473302427,0.0772982772732982,0.388133600240628,0.470328780211904,2.25,70.5006783
