attempt_id,network_size,g,alpha,seed,training_mae,testing_mae,testing_corr,phase_aligned_mae,phase_aligned_corr,amplitude_ratio,frequency_ratio,elapsed_seconds
recovery_figure2_abc_N1000_g_1p50_a_1p00_seed_2398,1000,1.5,1,2398,0.00757998979311669,0.288877222476476,0.832853244868415,0.035627064463,0.998864239153038,0.996009400989841,1,20.8768166
recovery_figure2_abc_N1500_g_1p50_a_1p00_seed_2398,1500,1.5,1,2398,0.00335810704427637,0.00259913447769678,0.999983868024344,0.00153519104005762,0.999990775507164,1.00012229621014,1,52.162142
