attempt_id,network_size,training_duration,g,alpha,seed,training_mae,testing_mae,testing_corr,phase_aligned_mae,phase_aligned_corr,late_phase_aligned_mae,late_phase_aligned_corr,phase_lag_drift_steps,amplitude_ratio,frequency_ratio,elapsed_seconds
recovery_figure2_i_slow_N1000_g_1p50_a_1p00_seed_2693_dur_3p00,1000,4800,1.5,1,2693,0.0208690664416162,1.55014766625725,-0.236758541333108,1.24892224303257,0.775953356394614,1.580609880658,1.70842719767591e-16,-3372,0.330190666516366,0.166666666666667,66.3583882
recovery_figure2_i_slow_N1000_g_1p50_a_10p00_seed_2693_dur_3p00,1000,4800,1.5,10,2693,0.0352670522245365,1.26193751330138,0.0211624246489939,1.21830022894842,0.340669387804083,1.27066497017197,-5.87842393506708e-18,-6199,0.127737617575003,0.166666666666667,69.267761
recovery_figure2_i_slow_N1500_g_1p50_a_1p00_seed_2693_dur_3p00,1500,4800,1.5,1,2693,0.0154461714511218,0.777095176740835,0.0442358099207672,0.3371613859361,0.872928497972839,0.402628587534602,0.757772079311902,926,0.956949900220843,1.33333333333333,166.5561572
recovery_figure2_i_slow_N2000_g_1p50_a_1p00_seed_2693_dur_3p00,2000,4800,1.5,1,2693,0.00163049051599928,0.851131667735016,-0.00557573250044149,0.872421601874246,0.116584602015218,0.804657932846763,0.303592643122503,2732,0.335130510165793,2.33333333333333,304.6425544
