attempt_id,network_size,training_duration,g,alpha,seed,training_mae,testing_mae,testing_corr,phase_aligned_mae,phase_aligned_corr,late_phase_aligned_mae,late_phase_aligned_corr,phase_lag_drift_steps,amplitude_ratio,frequency_ratio,elapsed_seconds
recovery_figure2_f_N1000_g_1p50_a_1p00_seed_2270,1000,1440,1.5,1,2270,0.414758978834661,0.419234874422672,0.611547418594437,0.0668922724774477,0.993357028607524,0.0579354655313229,0.995676608588326,-189,0.994522678955388,1,21.2021446
recovery_figure2_f_N1500_g_1p50_a_10p00_seed_2270,1500,1440,1.5,10,2270,0.415399665027947,0.318136254447307,0.748992833508831,0.0585911000974593,0.996449928923045,0.067350252882132,0.996321190442596,1043,1.0096921705688,1,51.9838289
recovery_figure2_f_N1500_g_1p50_a_1p00_seed_2270,1500,1440,1.5,1,2270,0.419531098914065,0.964073218075981,-0.233473798122434,0.0898609777112429,0.988956170257017,0.099790829651438,0.985942377625375,706,0.996861819409792,0.916666666666667,51.9586673
recovery_figure2_f_N2000_g_1p50_a_10p00_seed_2270,2000,1440,1.5,10,2270,0.41821733854669,0.784638950354862,0.00628167114222419,0.354755663196675,0.892359818565973,0.482919589382726,0.653799790261024,-252,0.933077805179645,1,91.6774944
recovery_figure2_f_N1500_g_1p50_a_10p00_seed_2270_dur_2p00,1500,2880,1.5,10,2270,0.411175321287759,0.325855713571283,0.748876406293398,0.0425482674405099,0.99741959789991,0.0422434584228891,0.997947984887694,1040,0.995819935915742,1,101.6571445
