networkSize,delayMs,nonlinearGain,trainingMae,testingMae,testingCorr,earlyAlignedCorr,lateAlignedCorr,frequencyRatio,elapsedSeconds
1000,50,1.3,0.0963725106387083,1.18056237289135,0.102885227540244,0.40674632600502,0.506410919898331,0.833333333333333,20.7934898
1000,100,1,0.0612770563697931,0.95592393811556,0.00216294163521102,0.458121130187085,0.332441044925097,0.75,22.6928266
1000,100,1.3,0.0932431208916576,1.38779733612482,0.0452394831466556,0.441702806786711,0.518425381006371,0.5,21.9679729
1000,100,1.6,0.157003345942857,1.8468501919696,0.167613943747558,0.578177635534687,0.515940884518179,0.166666666666667,22.497323
1000,150,1.3,0.0819029544935562,1.00648701670403,0.0415919016185656,0.261095117626218,0.555637827520281,0.583333333333333,22.5639128
1500,100,1.3,0.046559941173261,0.949276884172684,-0.0128510819603183,0.649033667662191,0.382500350148902,0.333333333333333,52.2289622
