attempt_id,network_size,g,alpha,seed,training_mae,testing_mae,testing_corr,phase_aligned_mae,phase_aligned_corr,late_phase_aligned_mae,late_phase_aligned_corr,phase_lag_drift_steps,amplitude_ratio,frequency_ratio,elapsed_seconds
recovery_figure2_e_N1000_g_1p50_a_1p00_seed_2269,1000,1.5,1,2269,0.00744424940741989,0.54713677511942,0.0449142423473323,0.329448904901008,0.552156596826619,0.172522515979307,0.895663357506269,350,1.02087722063141,0.916666666666667,20.0085021
recovery_figure2_e_N1500_g_1p50_a_10p00_seed_2269,1500,1.5,10,2269,0.0135752944773119,0.445378778042333,0.189901711868597,0.0315977701946416,0.996882571794582,0.260853483177349,0.706146684893878,-317,0.96986077094086,0.833333333333333,51.4480657
recovery_figure2_e_N1500_g_1p50_a_1p00_seed_2269,1500,1.5,1,2269,0.00467792321047758,0.482925277340669,0.214282044125261,0.300144536922959,0.707368862694793,0.494235850892131,0.538612015244275,-301,1.09543741114369,0.416666666666667,52.0125466
recovery_figure2_e_N1500_g_1p80_a_1p00_seed_2269,1500,1.8,1,2269,0.00392349014420302,0.629816382777591,-0.0335392996328713,0.573659232162636,0.307810184973317,0.43037478320974,0.58497319696163,-71,1.31665378503843,0.916666666666667,50.602317
recovery_figure2_e_N2000_g_1p50_a_10p00_seed_2269,2000,1.5,10,2269,0.0111556613710741,0.379359849226124,0.351501169469543,0.0802803853319441,0.970283968562326,0.391900407576782,0.781249297232711,880,0.990142627078574,0.666666666666667,91.5115435
