networkSize,seed,etaExponent,trainingTailMae,testingMae,testingCorr,phaseAlignedCorr,amplitudeRatio,frequencyRatio,etaFinal,elapsedSeconds
300,2101,1.5,0.00604605064851344,0.061236373098335,0.235711327301632,0.884302384962992,0.644544672179395,1.3,0.000808292430609398,18.5627657
500,2101,1.5,0.00847682022318778,0.140259718490653,-0.19911152826153,0.181917602719137,1.89387968279496,1,0.000872224016126102,14.3191434
1000,2101,1.5,0.00701895227104265,0.132858596022244,0.0107361327126633,0.658787512543241,1.9676030893989,1.2,0.000586621278217838,39.9703937
1000,2101,2,0.0106902730847787,0.110260886186703,0.100008840834098,0.861839743197575,1.73228420984551,1.2,0.000193114270903958,39.4447831
1000,2102,1.5,0.00633645325348564,0.121693888489727,-0.121264313719588,0.517776917090701,1.72313359060413,0.3,0.000589411760351738,40.2856341
1000,2103,1.5,0.00695014806862463,0.121624700009647,0.0404755989088708,0.507579614608572,1.91669923367715,1.6,0.000663617376546205,42.5274593
