networkSize,modifiedCount,epochs,meanMae,meanCorrelation,worstPatternMae,firstEpochMae,lastEpochMae,elapsedSeconds
300,200,10,0.401457442618461,0.417592148266956,0.538075012594445,0.0695561361607357,0.182425062947443,9.9077796
600,400,10,0.289549673304804,0.760487524840045,0.446716180009285,0.0407729916452017,0.100922353862726,56.8108285
1200,800,5,0.256481703970418,0.766859015299196,0.378760325656881,0.0237474388178713,0.0627045431519507,132.6457383
1200,800,10,0.0747311747282067,0.97350898655233,0.165719795602392,0.0237474388178713,0.0374122140809483,252.8903356
