attempt_id,network_size,training_duration,g,alpha,seed,training_mae,testing_mae,testing_corr,phase_aligned_mae,phase_aligned_corr,late_phase_aligned_mae,late_phase_aligned_corr,phase_lag_drift_steps,amplitude_ratio,frequency_ratio,elapsed_seconds
recovery_figure2_i_fast_N1000_g_1p50_a_1p00_seed_2670,1000,120,1.5,1,2670,0.00786939331996669,0.222075451664123,0.940611427035685,0.0571648301487173,0.999134084603414,0.488533100091077,0.997650054379121,3,0.74877693937562,1,2.266866
recovery_figure2_i_fast_N1500_g_1p50_a_1p00_seed_2670,1500,120,1.5,1,2670,0.00597071514567132,0.556137754501642,0.417159322365378,0.0548588119209086,0.999432680362953,0.625591642169349,0.830334322229502,2,0.317597812669116,0.95,5.4523364
recovery_figure2_i_fast_N1500_g_1p50_a_10p00_seed_2670_dur_2p00,1500,240,1.5,10,2670,0.0125519492165229,0.545966112728829,0.427872364389238,0.0400211434588532,0.999761956452038,0.617428905062692,0.948361946615802,15,0.363828317504851,0.975,9.7909183
recovery_figure2_i_fast_N1000_g_1p20_a_1p00_seed_2670_dur_2p00,1000,240,1.2,1,2670,0.0119873651273986,0.0643994371656465,0.992217918403657,0.0278491452371728,0.99902880822893,0.0128849447064156,0.999794608185504,2,1.00055984979478,1,4.7544511
recovery_figure2_i_fast_N1000_g_1p20_a_10p00_seed_2670_dur_2p00,1000,240,1.2,10,2670,0.0336243158247644,0.466784669433938,0.644950281839158,0.0068118558761794,0.999933410887521,0.0110221084695318,0.999845830026593,15,1.00364577774549,1,4.4041717
recovery_figure2_i_fast_N1000_g_1p00_a_1p00_seed_2670_dur_2p00,1000,240,1,1,2670,0.0210860094324433,0.231489240157264,0.916760161671194,0.0295273182586075,0.998926611255513,0.0285196820648309,0.998956996213292,7,1.00037356934018,1,4.6266959
recovery_figure2_i_fast_N1000_g_1p00_a_10p00_seed_2670_dur_2p00,1000,240,1,10,2670,0.0838358270035522,0.810716105634891,0.00148778927920789,0.0170115987180244,0.999540808986011,0.015309138459002,0.999641495177013,28,0.98879182172231,1,4.7842592
