g,mean_cycles,mean_testing_rmse,mean_weight_norm
0.75,NaN,0.722095554206926,2.7337003218172
0.85,NaN,0.867124801491772,2.93408860480258
0.95,NaN,0.980498542518536,3.21978681454852
1.05,NaN,1.02873298779592,2.93793244561315
1.15,NaN,1.15081437314778,2.17791085988035
1.25,1,0.923920637480672,1.11586662938045
1.35,1,0.295731623816529,0.617496728261643
1.45,1,0.220576209105146,0.436969842970678
1.55,1,0.07823681698374,0.355303104801809
