gamma,percent_stable,mean_mae,std_mae
0,80,0.237832864989024,0.360212049914904
0.1,60,0.313566150398106,0.392478680216248
0.2,0,0.643080211936849,0.14141580461896
0.3,0,0.793639704279838,0.117213954498693
0.4,0,0.825260951238698,0.0666366822999315
0.5,0,0.821705786389229,0.0805248265461167
0.6,0,0.811990352554153,0.0979726160442874
0.7,0,0.803338288737108,0.0783576926026538
0.8,0,0.805610581681109,0.0647676210081991
0.9,0,0.804440303292463,0.114923407426012
1,0,0.761012753718565,0.110574664335728
